physicalObject,desc
Absorption towers,
Accountancy firms,Business and commerce; Accountants and auditors
Accountancy firms,Business and commerce; Tax advisor
Advertising,Business and commerce; Advertising and graphic design
Advertising,Business and commerce; Public relations
Agriculture and aquaculture,Food production and horticulture; Agriculture
Agriculture and aquaculture,Food production and horticulture; Bee keeping
Agriculture and aquaculture,Food production and horticulture; Dairy
Agriculture and aquaculture,Food production and horticulture; Farming
Agriculture and aquaculture,Food production and horticulture; Greenhouses and glasshouses
Agriculture and aquaculture,Food production and horticulture; Horticulture
Agriculture and aquaculture,Food production and horticulture; Livestock
Agriculture and aquaculture,Food production and horticulture; Orchard
Agriculture and aquaculture,Food production and horticulture; Tree and plant nurseries
Agriculture and aquaculture,Keyword filter; Dairy
Agriculture and aquaculture,Keyword filter; Livestock
Agriculture and aquaculture,Outdoors and natural environment; Allotments and community gardens
Air bases,
Airplanes and helicopters,
Airports (major),
Airports (major),
Airports (minor),
Ambulance stations,Governance; Ambulance station
Animal care,Animal; Boarding
Animal care,Retail; Pet
Animal care,Trades and services; Animal grooming
Animal shelters,Animal; Shelter and welfare
Apparel retail,Retail; Boutique
Apparel retail,Retail; Clothing
Apparel retail,Retail; Clothing accessories
Apparel services,Keyword filter; Alteration
Apparel services,Trades and services; Dry cleaning and laundrette
Apparel services,Trades and services; Tailor
Aquariums,Attractions; Aquarium
Aqueducts and viaducts,Waterway; Aquaducts and viaducts
Armed forces barracks,Military; Barracks
Armed forces headquarters,
Armed forces training grounds,Military; Parade grounds
Armed forces training grounds,Military; Training grounds
Armed forces training grounds,Outdoor facility; Training grounds
Assisted living,Healthcare; Hospice
Assisted living,Residential; Supported housing
Assisted living,Social facility; Drug rehabilitation
Assisted living,Social facility; Supported housing
ATMs,Amenity; ATM
Attractions,Attractions
Attractions,Attractions; Amusement arcade
Attractions,Attractions; Bowling alley
Attractions,Attractions; Escape room
Attractions,Attractions; Go Karting centre
Attractions,Attractions; Karaoke
Attractions,Attractions; Miniature railway
Attractions,Attractions; Multiplex
Attractions,Attractions; Paintball
Attractions,Attractions; Trampoline park
Attractions,Attractions; Water and theme parks
Attractions,Keyword filter; Multiplex
Attractions,Keyword filter; Visitor centre
Attractions,Sports and games; Racing and motor sport
Auction houses,Retail; Auction house
Automotive retail,Vehicles; Retail
Bank headquarters,Business and commerce; Bank office
Banks,Business and commerce; Bank
Banks,Business and commerce; Banks and building societies
Banks,Business and commerce; Credit union
"Barriers, gates, and fences",Barrier
"Barriers, gates, and fences",Barrier; Bollard
"Barriers, gates, and fences",Barrier; Cycle
"Barriers, gates, and fences",Barrier; Height restriction
"Barriers, gates, and fences",Barrier; Wall
Bars and nightclubs,Attractions; Burlesque club
Bars and nightclubs,Attractions; Caberet club
Bars and nightclubs,Attractions; Nightclub
Bars and nightclubs,Attractions; Pool hall
Bars and nightclubs,Hospitality; Bar
Bars and nightclubs,University; Student union
Beaches,Outdoors and natural environment; Beach
Beauty services,Keyword filter; Barber
Beauty services,Retail; Beauty and cosmetics
Beauty services,Trades and services; Beauty industry
Beauty services,Training; Beauty school
Bicycles,
Bins,Amenity; Public trash bin
Bins,Waste management; Communal recycling bin
Bins,Waste management; Communal rubbish bin
Blood banks,Healthcare; Blood bank
Boats,
Botanical gardens,Attractions; Botanical garden
Bridges,Transport infrastructure; Bridge
Broadband provider offices,Telecommunications; Office
Broadcasting,Business and commerce; Production company
Broadcasting,Keyword filter; Production company
Broadcasting,Telecommunications; Broadcasting studio
Brownfield sites,Brownfield site
Brownfield sites,Transport infrastructure; Railway land
Bus stations,Public transport; Bus station
Bus stops,Public transport; Bus stop
Buses and trams,
Business services,Business and commerce; Chambers
Business services,Manufacturing; Signmaker
Business services,Retail; Printing and copying
Business services,Trades and services; Business
Business services,Training; Meeting and training space
Cafes,Hospitality; Cafe
